Sample	Reads
F1Mo	3564867
F1Fa	3206337
8	4461139
39	3515947
13	3233275
24	3226400
23	3038179
28	2974813
29	2766371
6	2726975
57	2572649
35	2456427
79	2404963
77	2344716
119	2324090
58	2313564
7	2306157
109	2253366
1	2209285
2	2189532
4	2140780
114	2135157
110	2121300
111	2113935
33	2113596
26	2074649
25	1997144
3	1953471
116	1920780
101	1899293
37	1860421
19	1856972
118	1824077
100	1814889
30	1785999
72	1681684
78	1668525
73	1639235
117	1623665
115	1602250
12	1595758
75	1539730
74	1421762
41	1352226
103	1027029
40	883494
